,시작,끝,총 시간
1교시,9:00,9:50,50
2교시,10:00,10:50,50
3교시,11:00,11:50,50
4교시,12:00,12:50,50
5교시,14:00,14:50,50
6교시,15:00,15:50,50
7교시,16:00,16:50,50
