,school_name,school_addr,latitude,longitude
76,신도림중학교,서울특별시 구로구 경인로63길 74,37.5108953,126.88536440000001
77,경인중학교,서울특별시 구로구 경인로 301,37.4982046,126.8542405
78,오남중학교,서울특별시 구로구 오리로9길 25,37.487144799999996,126.83594109999999
79,개봉중학교,서울특별시 구로구 고척로21나길 68,37.5029403,126.84221370000002
80,개웅중학교,서울특별시 구로구 개봉로11길 81,37.4873146,126.851246
81,고척중학교,서울특별시 구로구 중앙로3길 20,37.5002646,126.861981
82,오류중학교,서울특별시 구로구 고척로27바길 19,37.507895700000006,126.8461243
83,구로중학교,서울특별시 구로구 구로중앙로 48,37.4946496,126.89091529999999
84,영림중학교,서울특별시 구로구 가마산로27길 17,37.4975539,126.8903736
85,영서중학교,서울특별시 구로구 도림로20길 35,37.4889819,126.89421979999999
86,우신중학교,서울특별시 구로구 부일로 917,37.4951383,126.82687649999998
87,시흥중학교,서울특별시 금천구 시흥대로38길 60,37.4460493,126.90514840000002
88,문성중학교,서울특별시 금천구 독산로102길 78,37.475418299999994,126.9079037
89,세일중학교,서울특별시 금천구 시흥대로147길 34,37.4746253,126.89548590000001
90,가산중학교,서울특별시 금천구 시흥대로115길 48,37.4685225,126.8943615
91,난곡중학교,서울특별시 금천구 문성로 67,37.4778025,126.9107419
92,안천중학교,서울특별시 금천구 한내로 69-44,37.459360600000004,126.8874105
93,문일중학교,서울특별시 금천구 시흥대로47길 45,37.4493523,126.89842309999999
94,동일중학교,서울특별시 금천구 탑골로10길 45,37.4516719331,126.91688743590001
95,영원중학교,서울특별시 영등포구 영등포로62길 31,37.5150593,126.913731
96,당산중학교,서울특별시 영등포구 버드나루로 160,37.5314041,126.9075733
97,당산서중학교,서울특별시 영등포구 당산로41길 12,37.5322632,126.8985048
98,문래중학교,서울특별시 영등포구 선유서로13길 6,37.5202148,126.88444299999999
99,선유중학교,서울특별시 영등포구 선유로 213,37.5328432,126.8942213
100,영남중학교,서울특별시 영등포구 대림로31나길 17,37.497623700000005,126.8958925
101,대림중학교,서울특별시 영등포구 시흥대로185길 6,37.492050299999995,126.90776559999999
102,양화중학교,서울특별시 영등포구 당산로 56,37.519772700000004,126.89605379999999
103,대영중학교,서울특별시 영등포구 도림로80가길 14,37.503337,126.9049773
104,윤중중학교,서울특별시 영등포구 여의동로3길 3,37.518978499999996,126.923703
105,여의도중학교,서울특별시 영등포구 국제금융로7길 46,37.523948100000005,126.9357145
106,북서울중학교,서울특별시 도봉구 도봉로169가길 33,37.6813005,127.04302390000001
