,school_name,school_addr,latitude,longitude
73,서울미동초등학교,서울특별시 서대문구 충정로 52,37.5631109,126.9662737
74,서울금화초등학교,서울특별시 서대문구 통일로 165,37.5683284,126.9630251
75,서울홍은초등학교,서울특별시 서대문구 세검정로 105,37.5974199,126.9496287
76,서울홍제초등학교,서울특별시 서대문구 홍은중앙로 13,37.5931186,126.94482849999999
77,서울북성초등학교,서울특별시 서대문구 북아현로1나길 22(북아현동),37.5591762,126.95226909999998
78,서울연가초등학교,서울특별시 서대문구 증가로12가길 49-50,37.5802016,126.9180758
79,서울대신초등학교,서울특별시 서대문구 이화여대2길 27,37.5580828,126.947849
80,서울북가좌초등학교,서울특별시 서대문구 거북골로19길 20,37.5774792,126.9074665
81,서울연희초등학교,서울특별시 서대문구 연희로 136,37.569167,126.9339564
82,서울창서초등학교,서울특별시 서대문구 연세로5나길 30-3,37.5576122,126.9338905
83,서울홍연초등학교,서울특별시 서대문구 백련사길 55,37.5818632,126.9309472
84,서울안산초등학교,서울특별시 서대문구 통일로 321,37.5790158,126.9515446
85,서울인왕초등학교,서울특별시 서대문구 세무서길 33-9,37.5901698,126.9450604
86,서울고은초등학교,서울특별시 서대문구 모래내로 441,37.58477020000001,126.9433678
87,경기초등학교,서울특별시 서대문구 경기대로9길 10,37.5648923,126.96287009999999
88,이화여자대학교사범대학부속초등학교,서울특별시 서대문구 성산로 512-39,37.5612266,126.94262309999999
89,추계초등학교,서울특별시 서대문구 북아현로11가길 7,37.5628641,126.95316840000001
90,명지초등학교,서울특별시 서대문구 명지2길 32-20,37.583556099999996,126.92804609999999
91,서울공덕초등학교,서울특별시 마포구 만리재옛길 13,37.545700200000006,126.95377859999998
92,서울창천초등학교,서울특별시 마포구 백범로1길 56,37.5548865,126.93932009999999
93,서울용강초등학교,서울특별시 마포구 백범로17길 9,37.54861470000001,126.94401670000002
94,서울마포초등학교,서울특별시 마포구 도화2길 64,37.53842720000001,126.9494344
95,서울동교초등학교,서울특별시 마포구 월드컵로25길 86,37.5582046,126.90235039999999
96,서울망원초등학교,서울특별시 마포구 방울내로5길 28,37.5608234,126.9008405
97,서울서강초등학교,서울특별시 마포구 독막로 113,37.5483494,126.92658929999999
98,서울하늘초등학교,서울특별시 마포구 월드컵북로 502-14,37.5855353,126.8806962
99,서울서교초등학교,서울특별시 마포구 와우산로23길 20-27,37.5546731,126.92512579999999
100,서울성원초등학교,서울특별시 마포구 월드컵로36길 34,37.567288700000006,126.9052439
101,서울성서초등학교,서울특별시 마포구 성미산로7길 24,37.5605954796,126.91092644780001
102,서울중동초등학교,서울특별시 마포구 월드컵북로 152,37.5666231,126.91127900000001
103,서울신석초등학교,서울특별시 마포구 대흥로 33,37.5442479,126.9378894
104,서울아현초등학교,서울특별시 마포구 굴레방로 6,37.555510299999995,126.95596609999998
105,서울소의초등학교,서울특별시 마포구 마포대로24길 42,37.5522666,126.9608455
106,서울한서초등학교,서울특별시 마포구 대흥로24바길 27,37.5535191,126.94957579999999
107,서울염리초등학교,서울특별시 마포구 토정로37길 37,37.542446500000004,126.9461953
108,서울신북초등학교,서울특별시 마포구 월드컵북로38길 26,37.5712061,126.90511640000001
109,서울성산초등학교,서울특별시 마포구 양화로3길 94,37.5534098,126.9111567
110,서울상지초등학교,서울특별시 마포구 월드컵로42길 30,37.579602,126.8821351
111,서울상암초등학교,서울특별시 마포구 월드컵북로 353,37.5759905,126.89226509999999
112,홍익대학교사범대학부속초등학교,서울특별시 마포구 성미산로 51,37.560107200000004,126.9134939
113,서울천왕초등학교,서울특별시 구로구 천왕로1길 11,37.4816096,126.8367160785
114,서울영일초등학교,서울특별시 구로구 남부순환로105길 218,37.48530170000001,126.88407360000001
115,서울미래초등학교,서울특별시 구로구 새말로 73,37.505016,126.88794240000001
116,서울고원초등학교,서울특별시 구로구 경인로46길 13,37.4974706,126.86597179999998
117,서울고산초등학교,서울특별시 구로구 중앙로 6,37.49924179999999,126.8653696
118,서울개웅초등학교,서울특별시 구로구 개봉로11길 98,37.488569700000006,126.8500524
119,서울개명초등학교,서울특별시 구로구 개봉로1다길 16-9,37.4828583,126.85054469999999
120,서울온수초등학교,서울특별시 구로구 부일로 893,37.4940717,126.825993
121,서울매봉초등학교,서울특별시 구로구 고척로21길 55,37.5046996,126.844375
122,서울개봉초등학교,서울특별시 구로구 개봉로16길 30-11,37.4897274,126.858306
123,서울고척초등학교,서울특별시 구로구 경서로 31,37.5006668,126.8569791
124,서울덕의초등학교,서울특별시 구로구 고척로 213,37.5062766,126.85679879999999
125,서울세곡초등학교,서울특별시 구로구 고척로33길 34,37.5048823,126.84905800000001
126,서울동구로초등학교,서울특별시 구로구 구로중앙로14길 43,37.4950456,126.89231059999999
127,서울신구로초등학교,서울특별시 구로구 가마산로27길 69,37.499552,126.88936580000001
128,서울영서초등학교,서울특별시 구로구 도림로20길 57,37.4882883,126.89467420000001
129,서울구로남초등학교,서울특별시 구로구 디지털로27길 76,37.4848279,126.89059579999999
130,서울구로초등학교,서울특별시 구로구 구로중앙로27나길 9,37.497461240999996,126.88655235200001
131,서울구일초등학교,서울특별시 구로구 구일로 68,37.4927407,126.8729387
132,서울신미림초등학교,서울특별시 구로구 신도림로 26,37.506927399999995,126.87949340000002
133,서울신도림초등학교,서울특별시 구로구 신도림로19길 44,37.5123256,126.8833965
134,서울오류초등학교,서울특별시 구로구 경인로19길 39,37.49814979999999,126.8423578
135,서울오정초등학교,서울특별시 구로구 경인로2길 10,37.489624,126.82651489999999
136,서울오류남초등학교,서울특별시 구로구 서해안로24길 22,37.4896067,126.83871059999998
137,서울두산초등학교,서울특별시 금천구 범안로11길 3,37.4672494,126.89097209999998
138,서울문교초등학교,서울특별시 금천구 독산로54길 102,37.4667151,126.9089754
139,서울영남초등학교,서울특별시 금천구 문성로 62-15,37.4754537,126.90943390000001
140,서울금동초등학교,서울특별시 금천구 금하로30길 53,37.447427399999995,126.9164244
141,서울문백초등학교,서울특별시 금천구 시흥대로47길 43-1,37.4470903,126.8995074
142,서울신흥초등학교,서울특별시 금천구 독산로36 나 길 21,37.459686700000006,126.9090436
143,서울가산초등학교,서울특별시 금천구 남부순환로 1304-11,37.4781195,126.896405
144,서울정심초등학교,서울특별시 금천구 독산로78다길 89,37.4717252,126.9083606
145,서울문성초등학교,서울특별시 금천구 시흥대로 460,37.4747768,126.89946440000001
146,서울독산초등학교,서울특별시 금천구 시흥대로104길 31,37.4655786,126.90005690000001
