,school_name,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
5418,이산초등학교, 14 , 19 , 10 , 18 , 13 , 19 
5419,영주가흥초등학교, 220 , 199 , 202 , 140 , 153 , 125 
5420,장수초등학교, 7 , 3 , 6 , 5 , 15 , 10 
5421,평은초등학교, 8 , 8 , 9 , 12 , 8 , 8 
5422,풍기초등학교, 54 , 59 , 56 , 43 , 43 , 73 
5423,풍기북부초등학교, 7 , 6 , 5 , 9 , 12 , 10 
5424,거여초등학교, 4 , 3 , 3 , 4 , 4 , 4 
5425,고경초등학교, 2 , 1 , 7 , 5 , 2 , 8 
5426,금호초등학교, 28 , 31 , 29 , 32 , 29 , 33 
5427,단포초등학교, 26 , 16 , 21 , 14 , 11 , 19 
5428,대창초등학교, 6 , 4 , 5 , 6 , 11 , 3 
5429,북안초등학교, 7 , 4 , 3 , 7 , 12 , 11 
5430,신녕초등학교, 7 , 11 , 13 , 12 , 13 , 17 
5431,영천중앙초등학교화남분교장, 3 , 1 , 1 , 1 , 3 , 1 
5432,영천초등학교, 65 , 40 , 45 , 52 , 55 , 61 
5433,자천초등학교보현분교장, 2 , - , 1 , - , 1 , 2 
5434,영천동부초등학교, 41 , 36 , 55 , 36 , 45 , 74 
5435,영천중앙초등학교, 140 , 136 , 155 , 157 , 172 , 176 
5436,포은초등학교, 239 , 209 , 219 , 202 , 186 , 171 
5437,영화초등학교, 13 , 16 , 13 , 18 , 20 , 19 
5438,임고초등학교, 11 , 16 , 12 , 9 , 10 , 13 
5439,자천초등학교, 4 , 6 , 1 , 5 , 5 , 7 
5440,지곡초등학교, 5 , 1 , 2 , 5 , 1 , 4 
5441,청통초등학교, 4 , 3 , 2 , 6 , 3 , 9 
5442,평천초등학교, 2 , 1 , 5 , 5 , 2 , 5 
5443,영화초등학교화덕분교장, - , 2 , - , 1 , 1 , - 
5444,화산초등학교, 1 , 6 , 11 , 1 , 6 , 10 
5445,공검초등학교, 3 , 3 , 4 , 3 , 8 , 4 
5446,낙동초등학교, 12 , 10 , 12 , 6 , 11 , 11 
5447,낙동동부초등학교, 3 , 3 , 4 , 3 , 2 , 2 
5448,낙서초등학교, 4 , 2 , 3 , 2 , 9 , 4 
5449,모동초등학교, 11 , 7 , 2 , 8 , 11 , 10 
5450,모서초등학교, 10 , 5 , 15 , 8 , 11 , 7 
5451,백원초등학교, 8 , 7 , 17 , 12 , 14 , 16 
5452,사벌초등학교, 2 , 8 , 13 , 10 , 11 , 9 
5453,상산초등학교, 83 , 87 , 91 , 92 , 105 , 91 
5454,상영초등학교, 135 , 118 , 110 , 137 , 129 , 154 
5455,상주초등학교, 76 , 87 , 87 , 69 , 81 , 78 
5456,상주남부초등학교, 7 , 14 , 14 , 17 , 17 , 16 
5457,상주동부초등학교, 8 , 10 , 8 , 5 , 13 , 9 
5458,상주중앙초등학교, 75 , 71 , 72 , 75 , 68 , 77 
5459,성동초등학교, 59 , 58 , 69 , 79 , 76 , 87 
5460,옥산초등학교, 8 , 11 , 9 , 8 , 9 , 14 
5461,외남초등학교, 15 , 13 , 8 , 14 , 8 , 10 
5462,외서초등학교, 3 , 3 , 4 , 6 , 1 , 10 
5463,은척초등학교무릉분교장, - , 7 , 1 , 1 , 3 , 2 
5464,은척초등학교, 3 , 3 , 2 , 2 , 2 , 3 
5465,이안초등학교, 9 , 7 , 14 , 2 , 10 , 10 
5466,중동초등학교, 4 , 3 , 2 , 4 , 3 , 5 
5467,중모초등학교, 7 , 4 , 10 , 13 , 8 , 7 
5468,청리초등학교, 8 , 9 , 8 , 13 , 9 , 20 
5469,함창초등학교, 29 , 25 , 25 , 28 , 25 , 26 
5470,함창중앙초등학교, 8 , 9 , 10 , 6 , 11 , 11 
5471,화동초등학교, 3 , 12 , 11 , 8 , 10 , 9 
5472,화령초등학교, 9 , 15 , 10 , 14 , 21 , 17 
5473,화북초등학교, 2 , 4 , 3 , 5 , 3 , 1 
5474,화북초등학교용화분교장, 1 , 1 , 1 , 2 , 1 , - 
5475,화북초등학교입석분교장, 1 , 1 , 4 , - , 2 , 5 
5476,가은초등학교, 14 , 13 , 16 , 11 , 15 , 11 
5477,당포초등학교, 2 , 2 , 4 , - , 5 , 3 
5478,가은초등학교희양분교장, - , - , 6 , 2 , 1 , 3 
5479,농암초등학교, 7 , 7 , 6 , 3 , 9 , 7 
5480,동로초등학교, 12 , 7 , 8 , 5 , 11 , 4 
5481,동성초등학교, 3 , 16 , 9 , 9 , 12 , 5 
5482,모전초등학교, 196 , 168 , 182 , 149 , 169 , 177 
5483,문경초등학교, 15 , 20 , 24 , 19 , 23 , 14 
5484,농암초등학교청화분교장, 6 , 3 , 2 , 2 , 2 , 3 
5485,산북초등학교, 5 , 9 , 1 , 10 , 6 , 8 
5486,산양초등학교, 16 , 6 , 13 , 7 , 15 , 10 
5487,신기초등학교, 9 , 8 , 8 , 11 , 7 , 13 
5488,영순초등학교, 9 , 11 , 5 , 4 , 10 , 9 
5489,용흥초등학교, 5 , 7 , 3 , 7 , 6 , 5 
5490,산북초등학교창구분교장, - , - , 2 , 3 , 1 , 2 
5491,점촌초등학교, 55 , 76 , 44 , 77 , 45 , 75 
